BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.3175,1.623,1,C0001879_SEG_UNCOMP,0.08762255919198836
0.29,1.786,2,C0001879_SEG_UNCOMP,0.10682186088474697
0.3745,1.48,3,C0001879_SEG_UNCOMP,0.16926211357317864
0.3114,1.666,4,C0001879_SEG_UNCOMP,0.11611024924249388
0.3508,1.726,5,C0001879_SEG_UNCOMP,0.15012573219996292
0.1877,1.679,6,C0001879_SEG_UNCOMP,0.20944645889048716
0.2885,1.708,1,C0001885_SEG_UNCOMP,0.15858208509751118
0.3105,1.578,2,C0001885_SEG_UNCOMP,0.2521917715201125
0.3896,1.574,3,C0001885_SEG_UNCOMP,0.18622357419229923
0.3085,1.952,4,C0001885_SEG_UNCOMP,0.09986307833752878
0.2581,2.034,5,C0001885_SEG_UNCOMP,0.1332872946723591
0.2495,2.035,6,C0001885_SEG_UNCOMP,0.15380735485049743
0.2785,1.979,1,C0001890_SEG_UNCOMP,0.15134836823267564
0.1845,1.768,2,C0001890_SEG_UNCOMP,0.2476751563920262
0.1844,1.901,3,C0001890_SEG_UNCOMP,0.17268073599691625
0.11,1.863,4,C0001890_SEG_UNCOMP,0.11067769109897968
0.112,1.806,5,C0001890_SEG_UNCOMP,0.09131693303311826
0.2202,1.95,6,C0001890_SEG_UNCOMP,0.15127655698144804
0.1821,1.994,1,C0001896_SEG_UNCOMP,0.17077865858058933
0.2025,1.999,2,C0001896_SEG_UNCOMP,0.23326442825526075
0.112,1.614,3,C0001896_SEG_UNCOMP,0.2861993946992137
0.2195,2.15,4,C0001896_SEG_UNCOMP,0.18477405370319847
0.3027,2.121,5,C0001896_SEG_UNCOMP,0.18995653105519664
0.2541,2.139,6,C0001896_SEG_UNCOMP,0.16636950977726558
0.2859,2.144,1,C0001904_SEG_UNCOMP,0.15092004331261838
0.1211,1.852,2,C0001904_SEG_UNCOMP,0.3007528580183902
0.1297,1.834,3,C0001904_SEG_UNCOMP,0.3089680198756356
0.1388,1.858,4,C0001904_SEG_UNCOMP,0.2821287698709759
0.3373,2.266,5,C0001904_SEG_UNCOMP,0.14281567730019104
